Demo_RDM,Subject,ROI,RSA_Score with p-value
layer_2_pca.pkl,sub07,V4,"(0.02992656236796861, 0.0)"
layer_2_pca.pkl,sub08,EBA,"(0.039944774925508485, 0.0)"
layer_2_pca.pkl,sub08,FFA,"(0.05917967444370811, 0.0)"
layer_2_pca.pkl,sub08,LOC,"(0.07184449645619559, 0.0)"
layer_2_pca.pkl,sub08,PPA,"(0.0324631238432329, 0.0)"
layer_2_pca.pkl,sub08,STS,"(0.057409251791985666, 0.0)"
layer_2_pca.pkl,sub08,V1,"(0.1021978961374426, 0.0)"
layer_2_pca.pkl,sub08,V2,"(0.0640694258244501, 0.0)"
layer_2_pca.pkl,sub08,V3,"(0.04787329662707981, 0.0)"
layer_2_pca.pkl,sub08,V4,"(0.04969519896054649, 0.0)"
layer_2_pca.pkl,sub09,EBA,"(0.056342876904641244, 0.0)"
layer_2_pca.pkl,sub09,FFA,"(0.053853405417208185, 0.0)"
layer_2_pca.pkl,sub09,LOC,"(0.0665160849394257, 0.0)"
layer_2_pca.pkl,sub09,PPA,"(0.04663767712188168, 0.0)"
layer_2_pca.pkl,sub09,STS,"(0.03579577120177994, 0.0)"
layer_2_pca.pkl,sub09,V1,"(0.08425518042261154, 0.0)"
layer_2_pca.pkl,sub09,V2,"(0.08464223452250161, 0.0)"
layer_2_pca.pkl,sub09,V3,"(0.07116851552797512, 0.0)"
layer_2_pca.pkl,sub09,V4,"(0.06302508821979319, 0.0)"
layer_2_pca.pkl,sub10,EBA,"(0.048770409886057284, 0.0)"
layer_2_pca.pkl,sub10,FFA,"(0.0278179693501698, 0.0)"
layer_2_pca.pkl,sub10,LOC,"(0.058648699667885655, 0.0)"
layer_2_pca.pkl,sub10,PPA,"(0.03976179988966602, 0.0)"
layer_2_pca.pkl,sub10,STS,"(0.03027664917444508, 0.0)"
layer_2_pca.pkl,sub10,V1,"(0.10310187237690968, 0.0)"
layer_2_pca.pkl,sub10,V2,"(0.08635373989707998, 0.0)"
layer_2_pca.pkl,sub10,V3,"(0.061976047137730535, 0.0)"
layer_2_pca.pkl,sub10,V4,"(0.03581687645207876, 0.0)"
layer_3_pca.pkl,sub01,EBA,"(0.08244565599286627, 0.0)"
layer_3_pca.pkl,sub01,FFA,"(0.040006578882470015, 0.0)"
layer_3_pca.pkl,sub01,LOC,"(0.10617822397588457, 0.0)"
layer_3_pca.pkl,sub01,PPA,"(0.05280802796320522, 0.0)"
layer_3_pca.pkl,sub01,STS,"(0.0631577441486182, 0.0)"
layer_3_pca.pkl,sub01,V1,"(0.09022267523736612, 0.0)"
layer_3_pca.pkl,sub01,V2,"(0.09171645469861939, 0.0)"
layer_3_pca.pkl,sub01,V3,"(0.09016115042651589, 0.0)"
layer_3_pca.pkl,sub01,V4,"(0.05985626970303964, 0.0)"
layer_3_pca.pkl,sub02,EBA,"(0.11122373397292555, 0.0)"
layer_3_pca.pkl,sub02,FFA,"(0.052977242068389024, 0.0)"
layer_3_pca.pkl,sub02,LOC,"(0.0904217965652083, 0.0)"
layer_3_pca.pkl,sub02,PPA,"(0.04066350622046708, 0.0)"
layer_3_pca.pkl,sub02,STS,"(0.03507489351292633, 0.0)"
layer_3_pca.pkl,sub02,V1,"(0.12861598955535222, 0.0)"
layer_3_pca.pkl,sub02,V2,"(0.08916454315784919, 0.0)"
layer_3_pca.pkl,sub02,V3,"(0.07421281959538185, 0.0)"
layer_3_pca.pkl,sub02,V4,"(0.06833500166988671, 0.0)"
layer_3_pca.pkl,sub03,EBA,"(0.1015326108219659, 0.0)"
layer_3_pca.pkl,sub03,FFA,"(0.06061147891395057, 0.0)"
layer_3_pca.pkl,sub03,LOC,"(0.0993356126713362, 0.0)"
layer_3_pca.pkl,sub03,PPA,"(0.04980902719267302, 0.0)"
layer_3_pca.pkl,sub03,STS,"(0.06324484997843285, 0.0)"
layer_3_pca.pkl,sub03,V1,"(0.05935190536757319, 0.0)"
layer_3_pca.pkl,sub03,V2,"(0.09514831277467614, 0.0)"
layer_3_pca.pkl,sub03,V3,"(0.07940039268515973, 0.0)"
layer_3_pca.pkl,sub03,V4,"(0.049198254177890685, 0.0)"
layer_3_pca.pkl,sub04,EBA,"(0.09266044895909065, 0.0)"
layer_3_pca.pkl,sub04,FFA,"(0.0694124520297267, 0.0)"
layer_3_pca.pkl,sub04,LOC,"(0.1134640594264992, 0.0)"
layer_3_pca.pkl,sub04,PPA,"(0.05197906039009624, 0.0)"
layer_3_pca.pkl,sub04,STS,"(0.06188484653833722, 0.0)"
layer_3_pca.pkl,sub04,V1,"(0.12552156342028137, 0.0)"
layer_3_pca.pkl,sub04,V2,"(0.1059133566589829, 0.0)"
layer_3_pca.pkl,sub04,V3,"(0.09251109402933269, 0.0)"
layer_3_pca.pkl,sub04,V4,"(0.06230063818299717, 0.0)"
layer_3_pca.pkl,sub05,EBA,"(0.09701365481742433, 0.0)"
layer_3_pca.pkl,sub05,FFA,"(0.04851168575764215, 0.0)"
layer_3_pca.pkl,sub05,LOC,"(0.11370464316381479, 0.0)"
layer_3_pca.pkl,sub05,PPA,"(0.053088582615355116, 0.0)"
layer_3_pca.pkl,sub05,STS,"(0.0686632704703896, 0.0)"
layer_3_pca.pkl,sub05,V1,"(0.12165912146638276, 0.0)"
layer_3_pca.pkl,sub05,V2,"(0.08080167566659276, 0.0)"
layer_3_pca.pkl,sub05,V3,"(0.08137359226376735, 0.0)"
layer_3_pca.pkl,sub05,V4,"(0.06455230784305381, 0.0)"
layer_3_pca.pkl,sub06,EBA,"(0.08846095610243492, 0.0)"
layer_3_pca.pkl,sub06,FFA,"(0.05429122361229373, 0.0)"
layer_3_pca.pkl,sub06,LOC,"(0.09483509456865431, 0.0)"
layer_3_pca.pkl,sub06,PPA,"(0.049885169478424765, 0.0)"
layer_3_pca.pkl,sub06,STS,"(0.039483115945934316, 0.0)"
layer_3_pca.pkl,sub06,V1,"(0.125170711657233, 0.0)"
layer_3_pca.pkl,sub06,V2,"(0.10293002095933339, 0.0)"
layer_3_pca.pkl,sub06,V3,"(0.07282827156710958, 0.0)"
layer_3_pca.pkl,sub06,V4,"(0.04543905418316611, 0.0)"
layer_3_pca.pkl,sub07,EBA,"(0.050468985046444134, 0.0)"
layer_3_pca.pkl,sub07,FFA,"(0.03788125448871598, 0.0)"
layer_3_pca.pkl,sub07,LOC,"(0.06821969659340645, 0.0)"
layer_3_pca.pkl,sub07,PPA,"(0.017773589554920234, 0.0)"
layer_3_pca.pkl,sub07,STS,"(0.033028162863782545, 0.0)"
layer_3_pca.pkl,sub07,V1,"(0.05897108933333689, 0.0)"
layer_3_pca.pkl,sub07,V2,"(0.06821747963738987, 0.0)"
layer_3_pca.pkl,sub07,V3,"(0.06345793254260511, 0.0)"
layer_3_pca.pkl,sub07,V4,"(0.04132122594308902, 0.0)"
layer_3_pca.pkl,sub08,EBA,"(0.05854849503787854, 0.0)"
layer_3_pca.pkl,sub08,FFA,"(0.08079759103032895, 0.0)"
