Demo_RDM,Subject,ROI,RSA_Score
layer_2_pca.pkl,sub01,V3,0.0632040629436471
layer_2_pca.pkl,sub01,V4,0.04490681445501453
layer_2_pca.pkl,sub02,EBA,0.07701470454825335
layer_2_pca.pkl,sub02,FFA,0.03740465607250594
layer_2_pca.pkl,sub02,LOC,0.06035665709932128
layer_2_pca.pkl,sub02,PPA,0.025514697022065696
layer_2_pca.pkl,sub02,STS,0.025816493360819454
layer_2_pca.pkl,sub02,V1,0.1084468407755551
layer_2_pca.pkl,sub02,V2,0.06848411104445085
layer_2_pca.pkl,sub02,V3,0.05025023004517647
layer_2_pca.pkl,sub02,V4,0.04928046929746274
layer_2_pca.pkl,sub03,EBA,0.06942967551537803
layer_2_pca.pkl,sub03,FFA,0.04081417523224046
layer_2_pca.pkl,sub03,LOC,0.06843163768927814
layer_2_pca.pkl,sub03,PPA,0.03655847324457189
layer_2_pca.pkl,sub03,STS,0.04702891279311392
layer_2_pca.pkl,sub03,V1,0.04443530381982723
layer_2_pca.pkl,sub03,V2,0.07181164997145723
layer_2_pca.pkl,sub03,V3,0.05621906075074547
layer_2_pca.pkl,sub03,V4,0.0344326116563656
layer_2_pca.pkl,sub04,EBA,0.0610945824803938
layer_2_pca.pkl,sub04,FFA,0.047744936481380534
layer_2_pca.pkl,sub04,LOC,0.07915395340620301
layer_2_pca.pkl,sub04,PPA,0.036960954243044554
layer_2_pca.pkl,sub04,STS,0.04238952724663563
layer_2_pca.pkl,sub04,V1,0.10084570187992967
layer_2_pca.pkl,sub04,V2,0.07876789630238655
layer_2_pca.pkl,sub04,V3,0.06716990245453139
layer_2_pca.pkl,sub04,V4,0.0446902242534184
layer_2_pca.pkl,sub05,EBA,0.06784941613559142
layer_2_pca.pkl,sub05,FFA,0.0319957428807479
layer_2_pca.pkl,sub05,LOC,0.08028859803712726
layer_2_pca.pkl,sub05,PPA,0.04077177260160421
layer_2_pca.pkl,sub05,STS,0.047945355447566174
layer_2_pca.pkl,sub05,V1,0.09931354237793996
layer_2_pca.pkl,sub05,V2,0.06061749985514705
layer_2_pca.pkl,sub05,V3,0.05853689044547488
layer_2_pca.pkl,sub05,V4,0.04810429616076011
layer_2_pca.pkl,sub06,EBA,0.06240015362118326
layer_2_pca.pkl,sub06,FFA,0.04287226970750747
layer_2_pca.pkl,sub06,LOC,0.06456772897848709
layer_2_pca.pkl,sub06,PPA,0.03582718702120889
layer_2_pca.pkl,sub06,STS,0.03221915360612857
layer_2_pca.pkl,sub06,V1,0.10765989684038076
layer_2_pca.pkl,sub06,V2,0.07740859516090437
layer_2_pca.pkl,sub06,V3,0.05117036810271603
layer_2_pca.pkl,sub06,V4,0.03410689734891547
layer_2_pca.pkl,sub07,EBA,0.03324207265341864
layer_2_pca.pkl,sub07,FFA,0.02397248339600537
layer_2_pca.pkl,sub07,LOC,0.04532889888200514
layer_2_pca.pkl,sub07,PPA,0.01376330860290449
layer_2_pca.pkl,sub07,STS,0.02091501425123991
layer_2_pca.pkl,sub07,V1,0.049357255943270784
layer_2_pca.pkl,sub07,V2,0.054158790644369466
layer_2_pca.pkl,sub07,V3,0.04508160109761918
layer_2_pca.pkl,sub07,V4,0.02992656236796861
layer_2_pca.pkl,sub08,EBA,0.039944774925508485
layer_2_pca.pkl,sub08,FFA,0.05917967444370811
layer_2_pca.pkl,sub08,LOC,0.07184449645619559
layer_2_pca.pkl,sub08,PPA,0.0324631238432329
layer_2_pca.pkl,sub08,STS,0.057409251791985666
layer_2_pca.pkl,sub08,V1,0.1021978961374426
layer_2_pca.pkl,sub08,V2,0.0640694258244501
layer_2_pca.pkl,sub08,V3,0.04787329662707981
layer_2_pca.pkl,sub08,V4,0.04969519896054649
layer_2_pca.pkl,sub09,EBA,0.056342876904641244
layer_2_pca.pkl,sub09,FFA,0.053853405417208185
layer_2_pca.pkl,sub09,LOC,0.0665160849394257
layer_2_pca.pkl,sub09,PPA,0.04663767712188168
layer_2_pca.pkl,sub09,STS,0.03579577120177994
layer_2_pca.pkl,sub09,V1,0.08425518042261154
layer_2_pca.pkl,sub09,V2,0.08464223452250161
layer_2_pca.pkl,sub09,V3,0.07116851552797512
layer_2_pca.pkl,sub09,V4,0.06302508821979319
layer_2_pca.pkl,sub10,EBA,0.048770409886057284
layer_2_pca.pkl,sub10,FFA,0.0278179693501698
layer_2_pca.pkl,sub10,LOC,0.058648699667885655
layer_2_pca.pkl,sub10,PPA,0.03976179988966602
layer_2_pca.pkl,sub10,STS,0.03027664917444508
layer_2_pca.pkl,sub10,V1,0.10310187237690968
layer_2_pca.pkl,sub10,V2,0.08635373989707998
