Subject,ROI,RSA_Score,P_Value
sub01,EBA,0.0796155024125071,0.0
sub01,FFA,0.03281611374813875,0.0
sub01,LOC,0.09795964308601256,0.0
sub01,PPA,0.04261604114390853,0.0
sub01,STS,0.03877825735909985,0.0
sub01,V1,0.014185411792646185,0.0
sub01,V2,0.018890406023568566,0.0
sub01,V3,0.026229674295629862,0.0
sub01,V4,0.024494177975203056,0.0
sub02,EBA,0.07076989492491995,0.0
sub02,FFA,0.04288526954349459,0.0
sub02,LOC,0.06293138563167387,0.0
sub02,PPA,0.02496884200296159,0.0
sub02,STS,0.024597285826023073,0.0
sub02,V1,0.022591977406530312,0.0
sub02,V2,0.02106162966143561,0.0
sub02,V3,0.029498805817954273,0.0
sub02,V4,0.0273796623816855,0.0
sub03,EBA,0.07830141163197661,0.0
sub03,FFA,0.034537999208220704,0.0
sub03,LOC,0.06861108216549744,0.0
sub03,PPA,0.03479985897380288,0.0
sub03,STS,0.03427945336315595,0.0
sub03,V1,0.011112999903615027,0.0
sub03,V2,0.016259613543955706,0.0
sub03,V3,0.02143945508215924,0.0
sub03,V4,0.022754158201469,0.0
sub04,EBA,0.0813325028630953,0.0
sub04,FFA,0.05235635967549707,0.0
sub04,LOC,0.08053972658989411,0.0
sub04,PPA,0.03417718136923999,0.0
sub04,STS,0.042322041725463874,0.0
sub04,V1,0.024126961281316927,0.0
sub04,V2,0.023179251079500553,0.0
sub04,V3,0.02326206892634445,0.0
sub04,V4,0.019063812281993612,0.0
sub05,EBA,0.06574565242541527,0.0
sub05,FFA,0.03611279902029595,0.0
sub05,LOC,0.07163340337878227,0.0
sub05,PPA,0.03990056016805848,0.0
sub05,STS,0.044967640260219655,0.0
sub05,V1,0.021237221183757184,0.0
sub05,V2,0.014891394722907637,0.0
sub05,V3,0.02081201132962473,0.0
sub05,V4,0.026109236581453067,0.0
sub06,EBA,0.07567947117437239,0.0
sub06,FFA,0.04939184731210902,0.0
sub06,LOC,0.08376337061448191,0.0
sub06,PPA,0.031419859762281156,0.0
sub06,STS,0.021100130776370612,0.0
sub06,V1,0.02513548883202985,0.0
sub06,V2,0.024566334845257713,0.0
sub06,V3,0.025083814669934527,0.0
sub06,V4,0.017802713260519767,0.0
sub07,EBA,0.03925887397126973,0.0
sub07,FFA,0.026994600244615415,0.0
sub07,LOC,0.04408636201980465,0.0
sub07,PPA,0.011497646402721958,0.0
sub07,STS,0.018165565478677655,0.0
sub07,V1,0.013503652024788905,0.0
sub07,V2,0.015519278819736323,0.0
sub07,V3,0.01831814429835675,0.0
sub07,V4,0.01911440089088917,0.0
sub08,EBA,0.05276969242160577,0.0
sub08,FFA,0.06679285194994196,0.0
sub08,LOC,0.08118350996500764,0.0
sub08,PPA,0.03161192072786078,0.0
sub08,STS,0.055109151137411,0.0
sub08,V1,0.0198182031790758,0.0
sub08,V2,0.019955353398535273,0.0
sub08,V3,0.021483943642279926,0.0
sub08,V4,0.021342665280029014,0.0
sub09,EBA,0.06754073393353435,0.0
sub09,FFA,0.050779779298171214,0.0
sub09,LOC,0.07476077561246208,0.0
sub09,PPA,0.03802905855529249,0.0
sub09,STS,0.039136292287784306,0.0
sub09,V1,0.022858080694338517,0.0
sub09,V2,0.024422585378040283,0.0
sub09,V3,0.023736645688185412,0.0
sub09,V4,0.032659668825220506,0.0
sub10,EBA,0.0707140274631168,0.0
sub10,FFA,0.031147371729307576,0.0
sub10,LOC,0.08215468483509306,0.0
sub10,PPA,0.036516385717999596,0.0
sub10,STS,0.03649698400616409,0.0
sub10,V1,0.022441393077075916,0.0
sub10,V2,0.020890126493790497,0.0
sub10,V3,0.02442644012334626,0.0
sub10,V4,0.01755915500575437,0.0
