Subject,ROI,RSA_Score,P_Value
sub01,EBA,0.02041816895353287,0.0
sub01,FFA,0.010259824262866531,0.0
sub01,LOC,0.02671679238270638,0.0
sub01,PPA,0.013437827857197632,0.0
sub01,STS,0.016049068138477847,0.0
sub01,V1,0.031539647295257156,0.0
sub01,V2,0.027930763637111156,0.0
sub01,V3,0.019524640426675507,0.0
sub01,V4,0.010458498202032953,0.0
sub02,EBA,0.023006558303507646,0.0
sub02,FFA,0.013003341522444816,0.0
sub02,LOC,0.01673776102682958,0.0
sub02,PPA,0.010265545179340717,0.0
sub02,STS,0.008942413305112569,0.0
sub02,V1,0.042671884291922146,0.0
sub02,V2,0.021546733068227807,0.0
sub02,V3,0.014584009882334858,0.0
sub02,V4,0.016160710741473582,0.0
sub03,EBA,0.022656039959945966,0.0
sub03,FFA,0.010394378117786908,0.0
sub03,LOC,0.01974629851655651,0.0
sub03,PPA,0.013310503996829693,0.0
sub03,STS,0.014025880263378261,0.0
sub03,V1,0.015300560032306496,0.0
sub03,V2,0.020585911076209495,0.0
sub03,V3,0.015289530332595731,0.0
sub03,V4,0.010695581465352337,0.0
sub04,EBA,0.02121839874475257,0.0
sub04,FFA,0.016096777266168434,0.0
sub04,LOC,0.024951031163185103,0.0
sub04,PPA,0.011539422222479709,0.0
sub04,STS,0.013557846972030482,0.0
sub04,V1,0.036141043815154206,0.0
sub04,V2,0.031464497147405526,0.0
sub04,V3,0.026318301504096774,0.0
sub04,V4,0.014189275110249868,0.0
sub05,EBA,0.019982408631495696,0.0
sub05,FFA,0.01238706994746296,0.0
sub05,LOC,0.020542764562761384,0.0
sub05,PPA,0.010706366502929972,0.0
sub05,STS,0.014764880764560416,0.0
sub05,V1,0.03213918882041733,0.0
sub05,V2,0.01836087004538341,0.0
sub05,V3,0.016272664812379975,0.0
sub05,V4,0.013223806205456238,0.0
sub06,EBA,0.02240986602537425,0.0
sub06,FFA,0.012679543134084374,0.0
sub06,LOC,0.02352329234407674,0.0
sub06,PPA,0.010824534766684888,0.0
sub06,STS,0.011471167730382297,0.0
sub06,V1,0.04519519737088821,0.0
sub06,V2,0.028211444282381093,0.0
sub06,V3,0.015612168945147442,0.0
sub06,V4,0.010619203033377345,0.0
sub07,EBA,0.013579600923305957,0.0
sub07,FFA,0.009826298728539318,0.0
sub07,LOC,0.01272175607558766,0.0
sub07,PPA,0.008263715870872162,0.0
sub07,STS,0.00890152246329887,0.0
sub07,V1,0.019656883849585326,0.0
sub07,V2,0.020011180668995987,0.0
sub07,V3,0.014626060905542925,0.0
sub07,V4,0.009656340765968567,0.0
sub08,EBA,0.017976692077223102,0.0
sub08,FFA,0.019658245168115956,0.0
sub08,LOC,0.022135512138159986,0.0
sub08,PPA,0.00952989190555803,0.0
sub08,STS,0.017350706995418245,0.0
sub08,V1,0.03871480327686608,0.0
sub08,V2,0.021855989019017395,0.0
sub08,V3,0.014064150120828853,0.0
sub08,V4,0.0141366779180514,0.0
sub09,EBA,0.022154128467567317,0.0
sub09,FFA,0.01598281377788779,0.0
sub09,LOC,0.02470563048080998,0.0
sub09,PPA,0.016656500470387563,0.0
sub09,STS,0.014095579772186421,0.0
sub09,V1,0.037631218130707314,0.0
sub09,V2,0.03330061915359371,0.0
sub09,V3,0.025291077280353323,0.0
sub09,V4,0.024274783385729314,0.0
sub10,EBA,0.019175238574299765,0.0
sub10,FFA,0.01172704457589118,0.0
sub10,LOC,0.021055056166543084,0.0
sub10,PPA,0.012047636665409998,0.0
sub10,STS,0.01111738096228828,0.0
sub10,V1,0.0436471960401775,0.0
sub10,V2,0.03180972274732526,0.0
sub10,V3,0.017927746736731368,0.0
sub10,V4,0.01122317591043422,0.0
